               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.084939,            0.041426,                   0,             0.51189,                0.64,              0.5578,              0.2427,            0.041267,            0.021731,                   0,            0.070333,           0.0032963,           0.0032963
                   1,            0.055129,            0.033181,                   0,             0.60254,             0.76809,              0.6664,             0.36673,            0.039255,            0.014046,                   0,            0.040251,           0.0065476,           0.0065476
                   2,            0.047863,             0.03129,                   0,             0.75049,             0.82667,             0.85057,             0.54656,            0.032755,            0.013706,                   0,            0.010087,           0.0097164,           0.0097164
                   3,            0.043402,            0.027935,                   0,              0.7864,             0.86667,             0.87483,             0.50123,            0.032314,            0.012909,                   0,           0.0096288,           0.0096288,           0.0096288
                   4,            0.037259,            0.025819,                   0,              0.8714,             0.85833,             0.91648,             0.57259,             0.02443,            0.012457,                   0,           0.0096288,           0.0096288,           0.0096288
                   5,            0.036417,            0.026308,                   0,             0.86166,                0.82,              0.8881,             0.54864,            0.024713,            0.015046,                   0,            0.009505,            0.009505,            0.009505
                   6,             0.03388,            0.026561,                   0,             0.91091,                0.88,             0.92824,             0.65395,            0.021741,             0.01192,                   0,           0.0093813,           0.0093813,           0.0093813
                   7,            0.031705,            0.024837,                   0,             0.86887,             0.77333,             0.89143,             0.64599,            0.022005,            0.013254,                   0,           0.0092575,           0.0092575,           0.0092575
                   8,            0.031711,            0.024767,                   0,             0.87154,              0.9046,             0.94155,             0.67112,            0.020838,            0.011609,                   0,           0.0091337,           0.0091337,           0.0091337
                   9,            0.029289,            0.024418,                   0,             0.89006,             0.92667,             0.94211,             0.66544,            0.020036,            0.011166,                   0,             0.00901,             0.00901,             0.00901
                  10,             0.02933,            0.023734,                   0,             0.92429,             0.95333,             0.97466,             0.74361,            0.018246,            0.010282,                   0,           0.0088863,           0.0088863,           0.0088863
                  11,            0.028212,            0.022239,                   0,             0.90802,             0.88667,              0.9448,             0.69856,            0.019706,            0.011345,                   0,           0.0087625,           0.0087625,           0.0087625
                  12,            0.028298,            0.022391,                   0,             0.93338,             0.93408,             0.96211,             0.70366,            0.019185,              0.0109,                   0,           0.0086388,           0.0086388,           0.0086388
                  13,            0.027745,            0.023186,                   0,             0.91082,             0.95324,             0.95959,             0.72174,            0.018071,            0.010351,                   0,            0.008515,            0.008515,            0.008515
                  14,            0.026619,            0.020829,                   0,             0.85213,                0.96,             0.95327,             0.68919,            0.017998,             0.01096,                   0,           0.0083913,           0.0083913,           0.0083913
                  15,            0.026753,             0.02176,                   0,             0.92609,             0.91333,             0.96531,             0.73677,            0.018283,            0.010378,                   0,           0.0082675,           0.0082675,           0.0082675
                  16,            0.026025,            0.020922,                   0,             0.92201,             0.90667,             0.94946,             0.71641,            0.017278,            0.010838,                   0,           0.0081437,           0.0081437,           0.0081437
                  17,            0.026445,            0.020948,                   0,             0.93301,             0.89333,             0.96362,             0.73865,            0.016796,            0.010134,                   0,             0.00802,             0.00802,             0.00802
                  18,             0.02579,            0.021561,                   0,             0.93669,             0.88772,             0.96493,             0.74489,            0.016035,            0.011334,                   0,           0.0078963,           0.0078963,           0.0078963
                  19,            0.023974,            0.020514,                   0,             0.93433,             0.92667,             0.96364,             0.72471,            0.017392,            0.010701,                   0,           0.0077725,           0.0077725,           0.0077725
